DirPath,File,Method,PyPDF2_Score,OCR_Score,Final_Score,Output_Path
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/پیوند لوزالمعده (پانکراس),10 تیر.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/10 تیر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/CHF,CHF.pdf,PyPDF2 (no OCR),0.7671,0.0,0.7671,/content/drive/MyDrive/Base Model Farsi/Output Texts/CHF.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه و استاندارد خدمت درمان با اکسیژن هایپربار در زخم پای دیابتی_1,شناسنامه و استاندارد خدمت درمان با اکسیژن هایپربار در زخم پای دیابتی.pdf,PyPDF2 (no OCR),0.7894,0.0,0.7894,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه و استاندارد خدمت درمان با اکسیژن هایپربار در زخم پای دیابتی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809062-Assisted embryo  hatching.pdf,PyPDF2 (no OCR),0.7912,0.0,0.7912,/content/drive/MyDrive/Base Model Farsi/Output Texts/809062-Assisted embryo  hatching.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,89255-Preparation of embryo for   transfer.pdf,PyPDF2 (no OCR),0.7911,0.0,0.7911,/content/drive/MyDrive/Base Model Farsi/Output Texts/89255-Preparation of embryo for   transfer.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,"804400_Semen analysis_ macroscopic,    and microscopic, differential and staining.pdf",PyPDF2 (no OCR),0.7894,0.0,0.7894,"/content/drive/MyDrive/Base Model Farsi/Output Texts/804400_Semen analysis_ macroscopic,    and microscopic, differential and staining.txt"
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,89254-Oocytes identification from  follicular fluid.pdf,PyPDF2 (no OCR),0.7938,0.0,0.7938,/content/drive/MyDrive/Base Model Farsi/Output Texts/89254-Oocytes identification from  follicular fluid.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809025-NEW.pdf,PyPDF2 (no OCR),0.7968,0.0,0.7968,/content/drive/MyDrive/Base Model Farsi/Output Texts/809025-NEW.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809120-Thawing of cryopreserved  tissue.pdf,PyPDF2 (no OCR),0.7918,0.0,0.7918,/content/drive/MyDrive/Base Model Farsi/Output Texts/809120-Thawing of cryopreserved  tissue.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809110-Thawing of cryopreserved  sperm.pdf,PyPDF2 (no OCR),0.7915,0.0,0.7915,/content/drive/MyDrive/Base Model Farsi/Output Texts/809110-Thawing of cryopreserved  sperm.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809105-Thawing of cryopreserved  embryo slow Method.pdf,PyPDF2 (no OCR),0.7855,0.0,0.7855,/content/drive/MyDrive/Base Model Farsi/Output Texts/809105-Thawing of cryopreserved  embryo slow Method.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,"809060-culture of  oocyte(s)embryo(s), less than 4 days.pdf",PyPDF2 (no OCR),0.7916,0.0,0.7916,"/content/drive/MyDrive/Base Model Farsi/Output Texts/809060-culture of  oocyte(s)embryo(s), less than 4 days.txt"
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809085-Storage embryo.pdf,PyPDF2 (no OCR),0.7923,0.0,0.7923,/content/drive/MyDrive/Base Model Farsi/Output Texts/809085-Storage embryo.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,نامه ابلاغ 1.pdf,"PyPDF2 (better, OCR worse)",0.5342,0.5177,0.5342,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ 1.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,نامه ابلاغ 2.pdf,"PyPDF2 (better, OCR worse)",0.5319,0.5166,0.5319,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ 2.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,نامه.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/هیسترکتومی واژینال,هیسترکتومی واژینال.pdf,OCR (better),0.2005,0.7514,0.7514,/content/drive/MyDrive/Base Model Farsi/Output Texts/هیسترکتومی واژینال.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,"502060,puncture  1400.pdf",OCR (better),0.5494,0.7789,0.7789,"/content/drive/MyDrive/Base Model Farsi/Output Texts/502060,puncture  1400.txt"
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,"502068,iui 1400.pdf",OCR (better),0.3329,0.7682,0.7682,"/content/drive/MyDrive/Base Model Farsi/Output Texts/502068,iui 1400.txt"
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809130-verification method for cryopreservation of ovary tissue.pdf,PyPDF2 (no OCR),0.6685,0.0,0.6685,/content/drive/MyDrive/Base Model Farsi/Output Texts/809130-verification method for cryopreservation of ovary tissue.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,"502067,ivf 1400.pdf",OCR (better),0.5256,0.7755,0.7755,"/content/drive/MyDrive/Base Model Farsi/Output Texts/502067,ivf 1400.txt"
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809045-sperm isolation swim up.pdf,PyPDF2 (no OCR),0.79,0.0,0.79,/content/drive/MyDrive/Base Model Farsi/Output Texts/809045-sperm isolation swim up.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809055-sperm processing from testis  tissue fresh or freeze.pdf,PyPDF2 (no OCR),0.7912,0.0,0.7912,/content/drive/MyDrive/Base Model Farsi/Output Texts/809055-sperm processing from testis  tissue fresh or freeze.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809040-slow sperm freezing 10  straw.pdf,PyPDF2 (no OCR),0.7879,0.0,0.7879,/content/drive/MyDrive/Base Model Farsi/Output Texts/809040-slow sperm freezing 10  straw.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809050-Complex prep (e.g. gradient)  for insemination.pdf,PyPDF2 (no OCR),0.7879,0.0,0.7879,/content/drive/MyDrive/Base Model Farsi/Output Texts/809050-Complex prep (e.g. gradient)  for insemination.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,نامه6.pdf,"PyPDF2 (better, OCR worse)",0.5331,0.5017,0.5331,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه6.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,نامه ابلاغ 5.pdf,"PyPDF2 (better, OCR worse)",0.5344,0.5023,0.5344,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ 5.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/کاریو تایپ به تفکیک ویراست_1,کاریو تایپ به تفکیک ویراست .pdf,PyPDF2 (no OCR),0.7993,0.0,0.7993,/content/drive/MyDrive/Base Model Farsi/Output Texts/کاریو تایپ به تفکیک ویراست .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/New folder,809030-cryopreservation embryo slow  method.pdf,OCR (better),0.2887,0.7625,0.7625,/content/drive/MyDrive/Base Model Farsi/Output Texts/809030-cryopreservation embryo slow  method.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/SVF,SVF.pdf,PyPDF2 (no OCR),0.664,0.0,0.664,/content/drive/MyDrive/Base Model Farsi/Output Texts/SVF.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/جراحی چاقی ومتابولیک (2),جراحی چاقی ومتابولیک (2).pdf,PyPDF2 (no OCR),0.7915,0.0,0.7915,/content/drive/MyDrive/Base Model Farsi/Output Texts/جراحی چاقی ومتابولیک (2).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/NT_1,NT.pdf,OCR (better),0.1728,0.5604,0.5604,/content/drive/MyDrive/Base Model Farsi/Output Texts/NT.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/Hyperthyrodism,Hyperthyrodism.pdf,OCR (better),0.4099,0.7746,0.7746,/content/drive/MyDrive/Base Model Farsi/Output Texts/Hyperthyrodism.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/درمان های مداوم جایگزین کلیه,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/درمان های مداوم جایگزین کلیه,درمان های مداوم جایگزین کلیه (CRRT).pdf,PyPDF2 (no OCR),0.7816,0.0,0.7816,/content/drive/MyDrive/Base Model Farsi/Output Texts/درمان های مداوم جایگزین کلیه (CRRT).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/درمان دردهای ناشی از متاستازهای استخوانی با چشمه باز رادیو اکتیو تابش کننده بتا,درمان دردهای ناشی از متاستازهای استخوانی با چشمه باز رادیو اکتیو تابش کننده بتا.pdf,OCR (better),0.2943,0.7495,0.7495,/content/drive/MyDrive/Base Model Farsi/Output Texts/درمان دردهای ناشی از متاستازهای استخوانی با چشمه باز رادیو اکتیو تابش کننده بتا.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/رایحه,نامه رایحه درمانی.pdf,PyPDF2 (no OCR),0.7872,0.0,0.7872,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه رایحه درمانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/رایحه,رایحه درمانی.pdf,PyPDF2 (no OCR),0.7648,0.0,0.7648,/content/drive/MyDrive/Base Model Farsi/Output Texts/رایحه درمانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مدیریت درد (1),نامه ابلاغ مدیریت درد.pdf,PyPDF2 (no OCR),0.7847,0.0,0.7847,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ مدیریت درد.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مدیریت درد (1),فایل مدیریت درد.pdf,PyPDF2 (no OCR),0.7711,0.0,0.7711,/content/drive/MyDrive/Base Model Farsi/Output Texts/فایل مدیریت درد.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/aneuploidy,aneuploidy.pdf,PyPDF2 (no OCR),0.74,0.0,0.74,/content/drive/MyDrive/Base Model Farsi/Output Texts/aneuploidy.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/پیوند کلیه,پیوند کلیه.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/پیوند کلیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/پیوند کلیه,نهایی کلیه کودکان.pdf,PyPDF2 (no OCR),0.7871,0.0,0.7871,/content/drive/MyDrive/Base Model Farsi/Output Texts/نهایی کلیه کودکان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/پولمونر,پولمونر.pdf,OCR (better),0.1397,0.658,0.658,/content/drive/MyDrive/Base Model Farsi/Output Texts/پولمونر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حسایت زدایی,حساسیت زدایی در بیماران پیوند کلیه.pdf,PyPDF2 (no OCR),0.7872,0.0,0.7872,/content/drive/MyDrive/Base Model Farsi/Output Texts/حساسیت زدایی در بیماران پیوند کلیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فراوری سلول,فرآوری سلول.pdf,OCR (better),0.4852,0.7441,0.7441,/content/drive/MyDrive/Base Model Farsi/Output Texts/فرآوری سلول.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/مراقبت بحرانی,مراقبت بحرانی .pdf,PyPDF2 (no OCR),0.7914,0.0,0.7914,/content/drive/MyDrive/Base Model Farsi/Output Texts/مراقبت بحرانی .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/حسایت زدایی,-  جهت ابلاغ فرم استاندارد خدمت حساسیت زدایی14010723.pdf,"PyPDF2 (better, OCR worse)",0.5853,0.5432,0.5853,/content/drive/MyDrive/Base Model Farsi/Output Texts/-  جهت ابلاغ فرم استاندارد خدمت حساسیت زدایی14010723.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/تست متاکولین,تست متاکولین.pdf,OCR (better),0.0,0.5712,0.5712,/content/drive/MyDrive/Base Model Farsi/Output Texts/تست متاکولین.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آئورت,آئورت.pdf,OCR (better),0.0,0.7452,0.7452,/content/drive/MyDrive/Base Model Farsi/Output Texts/آئورت.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,Thyroid cancer-Finalized.pdf,OCR (better),0.4645,0.7686,0.7686,/content/drive/MyDrive/Base Model Farsi/Output Texts/Thyroid cancer-Finalized.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/ارزیابی و برنامه ریزی برای فیزیوتراپی بیمار به ازای هر دوره فیزیوتراپی,ارزیابی فیزیوتراپی بیمار.pdf,OCR (better),0.5629,0.7656,0.7656,/content/drive/MyDrive/Base Model Farsi/Output Texts/ارزیابی فیزیوتراپی بیمار.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,Radioiodine Treatment of Hyperthyrodism-FINALIZED.pdf,OCR (better),0.4098,0.7685,0.7685,/content/drive/MyDrive/Base Model Farsi/Output Texts/Radioiodine Treatment of Hyperthyrodism-FINALIZED.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,Radiopharmaceutical therapy Code 705045.pdf,OCR (better),0.4331,0.7665,0.7665,/content/drive/MyDrive/Base Model Farsi/Output Texts/Radiopharmaceutical therapy Code 705045.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,SOP Whole body iodine scan 704610.pdf,OCR (better),0.533,0.7693,0.7693,/content/drive/MyDrive/Base Model Farsi/Output Texts/SOP Whole body iodine scan 704610.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,SOP single-phase MPI - code 704665.pdf,OCR (better),0.0,0.7717,0.7717,/content/drive/MyDrive/Base Model Farsi/Output Texts/SOP single-phase MPI - code 704665.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,SOP Gated MPI - code 704675.pdf,OCR (better),0.0,0.7704,0.7704,/content/drive/MyDrive/Base Model Farsi/Output Texts/SOP Gated MPI - code 704675.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,پزشکی هسته ایی.pdf,"PyPDF2 (better, OCR worse)",0.5177,0.4994,0.5177,/content/drive/MyDrive/Base Model Farsi/Output Texts/پزشکی هسته ایی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/کالر داپلر,کالر داپلر.pdf,OCR (better),0.1737,0.6036,0.6036,/content/drive/MyDrive/Base Model Farsi/Output Texts/کالر داپلر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/HFE,HFE.pdf,PyPDF2 (no OCR),0.7082,0.0,0.7082,/content/drive/MyDrive/Base Model Farsi/Output Texts/HFE.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/بررسی رشد غیر داپلر_1,بررسی رشد غیر داپلر   iugr.pdf,OCR (better),0.0,0.592,0.592,/content/drive/MyDrive/Base Model Farsi/Output Texts/بررسی رشد غیر داپلر   iugr.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/لفورت,لفورت.pdf,PyPDF2 (no OCR),0.783,0.0,0.783,/content/drive/MyDrive/Base Model Farsi/Output Texts/لفورت.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/pet-ct,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/pet-ct,(اصلاحی)1 آذر.pdf,PyPDF2 (no OCR),0.7894,0.0,0.7894,/content/drive/MyDrive/Base Model Farsi/Output Texts/(اصلاحی)1 آذر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه و استاندارد خدمت درمان آمبولی گازی با اکسیژن پرفشار_1,شناسنامه و استاندارد خدمت درمان آمبولی گازی با اکسیژن پرفشار.pdf,PyPDF2 (no OCR),0.7894,0.0,0.7894,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه و استاندارد خدمت درمان آمبولی گازی با اکسیژن پرفشار.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/AZF 18 Dey 98,AZF 18 Dey 98.pdf,PyPDF2 (no OCR),0.6941,0.0,0.6941,/content/drive/MyDrive/Base Model Farsi/Output Texts/AZF 18 Dey 98.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/نفرکتومی,نفركتومی .pdf,PyPDF2 (no OCR),0.7879,0.0,0.7879,/content/drive/MyDrive/Base Model Farsi/Output Texts/نفركتومی .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد خدمات پزشکی هسته ایی,SOP MPI- code 704670 .pdf,OCR (better),0.0,0.7716,0.7716,/content/drive/MyDrive/Base Model Farsi/Output Texts/SOP MPI- code 704670 .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/لیتو تریپسی,نامه لیتو تریپسی.pdf,PyPDF2 (no OCR),0.7873,0.0,0.7873,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه لیتو تریپسی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/لیتو تریپسی,سنگ شکن.pdf,PyPDF2 (no OCR),0.6234,0.0,0.6234,/content/drive/MyDrive/Base Model Farsi/Output Texts/سنگ شکن.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/کولونوسکوپی نسخه سوم,کولونوسکوپی.pdf,PyPDF2 (no OCR),0.7872,0.0,0.7872,/content/drive/MyDrive/Base Model Farsi/Output Texts/کولونوسکوپی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/کولونوسکوپی نسخه سوم,کولونوسکوپی نسخه سوم.pdf,PyPDF2 (no OCR),0.6709,0.0,0.6709,/content/drive/MyDrive/Base Model Farsi/Output Texts/کولونوسکوپی نسخه سوم.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/Haemophilia A,Haemophilia A.pdf,PyPDF2 (no OCR),0.7958,0.0,0.7958,/content/drive/MyDrive/Base Model Farsi/Output Texts/Haemophilia A.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استانداردهای سرطان در کودکان,3نامه تغذیه.pdf,PyPDF2 (no OCR),0.7848,0.0,0.7848,/content/drive/MyDrive/Base Model Farsi/Output Texts/3نامه تغذیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استانداردهای سرطان در کودکان,kidney-children. 1400.5.24.pdf,PyPDF2 (no OCR),0.7909,0.0,0.7909,/content/drive/MyDrive/Base Model Farsi/Output Texts/kidney-children. 1400.5.24.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/آمنیو سنتز-,استاندارد آمنیوسنتز.pdf,OCR (better),0.0183,0.6125,0.6125,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد آمنیوسنتز.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استانداردهای سرطان در کودکان,تغذیه در سرطان کودکان.pdf,PyPDF2 (no OCR),0.7906,0.0,0.7906,/content/drive/MyDrive/Base Model Farsi/Output Texts/تغذیه در سرطان کودکان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/MPS,استاندارد خدمت تیپ 2 - 1400.pdf,PyPDF2 (no OCR),0.6762,0.0,0.6762,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد خدمت تیپ 2 - 1400.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/برونکوسکوپی تشخیصی,برونکوسکوپی تشخیصی.pdf,OCR (better),0.0903,0.5802,0.5802,/content/drive/MyDrive/Base Model Farsi/Output Texts/برونکوسکوپی تشخیصی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/MPS,استاندارد خدمت تیپ1 - 1400.pdf,OCR (better),0.4818,0.7605,0.7605,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد خدمت تیپ1 - 1400.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/MPS,استاندارد خدمت تیپ 6 - 1400.pdf,OCR (better),0.3135,0.7488,0.7488,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد خدمت تیپ 6 - 1400.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/MPS,MPSنامه.pdf,PyPDF2 (no OCR),0.7855,0.0,0.7855,/content/drive/MyDrive/Base Model Farsi/Output Texts/MPSنامه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیزیو,استاندارد شاک ویو تراپی.pdf,PyPDF2 (no OCR),0.7372,0.0,0.7372,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد شاک ویو تراپی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیزیو,استاندارد سازی لیزر (Repaired).pdf,PyPDF2 (no OCR),0.7262,0.0,0.7262,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد سازی لیزر (Repaired).txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیزیو,آبدرمانی.pdf,PyPDF2 (no OCR),0.7493,0.0,0.7493,/content/drive/MyDrive/Base Model Farsi/Output Texts/آبدرمانی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیزیو,شناسنامه مگنت تراپی.pdf,PyPDF2 (no OCR),0.724,0.0,0.724,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه مگنت تراپی.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیزیو,فیزیوتراپی قفسه سينه با يا بدون مدالیتي بیماران بستری.pdf,PyPDF2 (no OCR),0.7619,0.0,0.7619,/content/drive/MyDrive/Base Model Farsi/Output Texts/فیزیوتراپی قفسه سينه با يا بدون مدالیتي بیماران بستری.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/فیزیو,فیزیوتراپی یک یا چند ناحیه بیماران بستری.pdf,PyPDF2 (no OCR),0.7496,0.0,0.7496,/content/drive/MyDrive/Base Model Farsi/Output Texts/فیزیوتراپی یک یا چند ناحیه بیماران بستری.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلیاک,سلیاک.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/سلیاک.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سلیاک,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/شناسنامه_و_استاندارد_خدمت_درمان مسمومیت با مونوکسید کربن,شناسنامه_و_استاندارد_خدمت_درمان مسمومیت با مونوکسید کربن.pdf,PyPDF2 (no OCR),0.7876,0.0,0.7876,/content/drive/MyDrive/Base Model Farsi/Output Texts/شناسنامه_و_استاندارد_خدمت_درمان مسمومیت با مونوکسید کربن.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/هیسترکتومی ابدومینال,نامه نسخه دوم زنان.pdf,PyPDF2 (no OCR),0.785,0.0,0.785,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه نسخه دوم زنان.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/MPS,استاندارد خدمت تیپ 4- 1400.pdf,OCR (better),0.4483,0.6616,0.6616,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد خدمت تیپ 4- 1400.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/SMA,SMA .pdf,PyPDF2 (no OCR),0.7775,0.0,0.7775,/content/drive/MyDrive/Base Model Farsi/Output Texts/SMA .txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/RTMS,استاندارد تحریک مغناطیسی مغزی فراجمجمه‌ای مکرر (آر تی ام اس) در روان‌پزشکی 1399.pdf,PyPDF2 (no OCR),0.793,0.0,0.793,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد تحریک مغناطیسی مغزی فراجمجمه‌ای مکرر (آر تی ام اس) در روان‌پزشکی 1399.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سیستکتومی_2,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/سیستکتومی_2,1 (اصلاحی) آذر.pdf,PyPDF2 (no OCR),0.7903,0.0,0.7903,/content/drive/MyDrive/Base Model Farsi/Output Texts/1 (اصلاحی) آذر.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد پیوند کلیه,نامه ابلاغ.pdf,Skipped,0,0,0,/content/drive/MyDrive/Base Model Farsi/Output Texts/نامه ابلاغ.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/استاندارد پیوند کلیه,استاندارد پیوند کلیه.pdf,PyPDF2 (no OCR),0.7893,0.0,0.7893,/content/drive/MyDrive/Base Model Farsi/Output Texts/استاندارد پیوند کلیه.txt
/content/drive/MyDrive/Base Model Farsi/Documents/medical guidelines/استانداردها/اسپیرومتری ساده,اسپیرومتری ساده.pdf,OCR (better),0.0,0.5841,0.5841,/content/drive/MyDrive/Base Model Farsi/Output Texts/اسپیرومتری ساده.txt
